Campaign Name,Reach (Estimated),Date,CPC (Cost per Click),CTR (Clickthrough Rate),CPM (Cost per 1000 Impressions),Action Post Engagement,Cost Per Action Link Clicks,Frequency,Action Landing Page View,"Spend (Cost, Amount Spent)"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,4049,2023-08-09,"1,067699","2,422294","25,862808",1314,"1,65274","1,152136",66,"120,65"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,2519,2023-10-03,"1,847813","2,165088","40,006766",750,"2,815714","1,173482",27,"118,26"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,4996,2023-08-27,"0,930809","2,344828","21,825862",1391,"1,332526","1,160929",77,"126,59"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,3105,2023-09-20,"1,386588","2,273335","31,521797",803,"2,266538","1,204187",38,"117,86"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,2727,2023-10-04,"1,602917","2,229793","35,741716",751,"2,508913","1,184085",31,"115,41"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,4960,2023-08-13,"1,14469","1,995761","22,845284",1504,"1,437222","1,141532",63,"129,35"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,2474,2023-10-05,"2,055172","1,954837","40,175261",652,"2,772093","1,199272",34,"119,2"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,4839,2023-08-26,"1,190204","1,777294","21,153428",1248,"2,082857","1,139492",45,"116,64"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,4344,2023-09-03,"1,23233","1,992648","24,556007",1219,"1,6924","1,189917",62,"126,93"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,2885,2023-09-19,"1,841846","1,834086","33,781038",756,"2,92","1,228423",33,"119,72"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,2792,2023-10-06,"1,9265","1,79051","34,494181",691,"3,124054","1,200215",27,"115,59"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,3333,2023-09-21,"1,5924","1,876407","29,87991",896,"2,541064","1,19922",35,"119,43"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,3153,2023-09-18,"2,50551","1,318267","33,029325",815,"3,960323","1,178877",26,"122,77"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,3479,2023-10-07,"1,334659","2,141119","28,576642",910,"2,796429","1,181374",34,"117,45"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,4277,2023-08-25,"1,348471","1,750051","23,598929",1135,"2,339184","1,135609",42,"114,62"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,3657,2023-10-08,"1,312551","2,317333","30,416174",972,"2,382037","1,156412",43,"128,63"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,4421,2023-08-14,"1,009754","2,433187","24,569206",1369,"1,466548","1,134133",64,"123,19"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,4278,2023-09-04,"1,402159","1,716738","24,071401",1089,"2,285","1,198223",41,"123,39"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,3076,2023-10-09,"1,883077","1,809073","34,06624",774,"3,497143","1,168075",23,"122,4"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,4099,2023-08-24,"1,257097","1,957071","24,602273",1159,"1,771364","1,159307",55,"116,91"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,3085,2023-10-10,"1,651507","1,966595","32,478448",793,"2,62087","1,203241",37,"120,56"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,3154,2023-09-16,"1,920328","1,610774","30,932136",903,"2,724186","1,200698",36,"117,14"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,4012,2023-08-29,"1,467108","1,804348","26,471739",1150,"2,099483","1,14656",40,"121,77"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,3637,2023-08-31,"1,253125","2,215044","27,757268",1131,"1,718571","1,191641",53,"120,3"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,3034,2023-09-26,"1,342472","2,443712","32,80615",854,"2,597391","1,200396",36,"119,48"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,4489,2023-08-11,"1,111376","2,152874","23,926526",1412,"1,659452","1,127868",54,"121,14"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,2921,2023-09-25,"1,640263","2,111111","34,627778",817,"2,65234","1,232455",36,"124,66"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,2425,2023-09-27,"1,882742","2,129121","40,085852",712,"2,483617","1,200825",29,"116,73"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,3742,2023-08-30,"1,182626","2,274294","26,896393",1196,"1,626111","1,163282",54,"117,08"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,3681,2023-09-24,"1,370638","2,060952","28,248191",1067,"1,982154","1,239065",47,"128,84"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,2016,2023-09-28,"1,922742","2,69331","51,785404",594,"2,337451","1,141865",40,"119,21"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,3501,2023-09-01,"1,585417","1,773836","28,12269",1128,"2,113889","1,159383",43,"114,15"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,2059,2023-09-29,"3,206053","1,539085","49,343864",573,"5,537727","1,199126",15,"121,83"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,3896,2023-09-17,"1,317083","2,077023","27,356123",1083,"1,806286","1,186345",53,"126,44"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,2911,2023-09-23,"1,415833","2,323651","32,899032",818,"2,202407","1,241841",42,"118,93"
GTX | CZ_PP_YR_A1 | Vendas | Frio | [19/10] - [FR] - [CV] - ABO - VÍDEO,2030,2023-09-30,"2,37413","1,936027","45,963805",611,"3,212059","1,170443",29,"109,21"
